                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.2386,                 1.0044,                 1.7292,                0.84046,                 0.8268,                  0.897,                0.62002,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     39,                 1.2223,                0.98317,                 1.6996,                0.89107,                 0.9032,                0.92393,                0.62319,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                 1.2145,                0.98209,                 1.7053,                0.72075,                0.77575,                0.81039,                0.51289,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                 1.1841,                0.96864,                 1.7038,                0.82833,                0.83151,                 0.8629,                0.59761,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                 1.2129,                 1.0062,                 1.7083,                0.86352,                0.77943,                0.83396,                0.57143,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                 1.1766,                 0.9544,                 1.6589,                0.89975,                0.79154,                0.90494,                0.60051,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                 1.1592,                0.94192,                 1.6418,                0.90665,                0.83237,                0.92945,                0.61679,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                  1.167,                0.89216,                 1.6386,                0.81578,                0.88137,                0.85721,                0.58018,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                 1.1396,                0.90455,                 1.6502,                 0.8376,                0.80959,                0.87095,                 0.5998,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                 1.1325,                0.89371,                 1.6243,                0.85357,                0.85397,                  0.923,                0.66368,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                 1.1394,                0.89284,                 1.6084,                0.86636,                0.82908,                 0.8747,                 0.5992,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     49,                 1.1035,                0.88009,                 1.5983,                0.83594,                0.82605,                 0.8872,                0.61939,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     50,                 1.0718,                0.85796,                 1.6052,                0.83457,                0.88506,                0.92456,                0.64284,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                     51,                 1.0864,                0.86718,                 1.5716,                0.88939,                 0.8768,                0.89813,                0.63912,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                   1.13,                0.89532,                 1.6299,                0.86611,                0.83268,                0.88913,                0.63608,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                     53,                 1.0838,                 0.8648,                 1.5806,                0.93149,                0.83719,                0.93786,                0.65161,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     54,                 1.0644,                0.83742,                 1.5567,                0.90886,                0.83539,                0.92751,                0.64083,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                     55,                  1.083,                0.81923,                 1.5845,                0.89129,                0.84979,                0.91467,                0.64467,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     56,                 1.0761,                0.83233,                 1.5672,                0.87718,                 0.8543,                0.92443,                0.66586,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     57,                 1.0808,                0.87464,                 1.5947,                0.85421,                0.85419,                0.87041,                0.61565,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     58,                  1.042,                0.80867,                 1.5274,                0.92492,                0.88987,                0.93991,                0.69391,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                     59,                 1.0816,                0.81377,                 1.5545,                0.92579,                0.85487,                0.93864,                 0.6443,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     60,                 1.0177,                0.78391,                 1.5014,                0.90297,                0.87549,                0.93011,                 0.6631,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                     61,                 1.0277,                0.77351,                 1.5124,                0.90539,                0.86275,                0.91252,                0.64408,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     62,                 1.0439,                0.79356,                 1.5254,                0.90729,                0.85736,                 0.9217,                 0.6701,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                     63,                 1.0591,                0.79605,                  1.527,                0.90505,                0.86569,                 0.9225,                0.65972,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     64,                 1.0395,                0.79217,                 1.5172,                0.89939,                  0.886,                0.92119,                0.67641,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                     65,                 1.0097,                0.77924,                 1.4987,                0.86167,                 0.8839,                0.91494,                0.65646,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     66,                0.98625,                0.77061,                 1.4804,                0.86929,                0.87407,                0.90125,                0.65508,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     67,                0.98683,                0.72618,                 1.4682,                0.90332,                0.90431,                0.93798,                 0.6743,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     68,                0.97634,                 0.7191,                 1.4601,                0.90587,                0.83497,                0.91879,                0.66447,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                     69,                0.98291,                0.73109,                 1.4731,                0.95349,                0.87589,                0.93944,                0.68525,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     70,                 0.9768,                0.72383,                 1.4456,                0.90904,                0.89823,                 0.9374,                0.67848,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                     71,                0.97348,                0.70685,                 1.4466,                0.89719,                0.89146,                0.93301,                0.66059,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     72,                 1.0122,                0.73674,                  1.494,                 0.9226,                0.88431,                0.93288,                0.67598,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
                     73,                 0.9718,                0.73688,                 1.4457,                0.96018,                0.86699,                0.95697,                0.70678,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     74,                0.98767,                0.71376,                 1.4669,                0.88936,                0.90273,                0.93546,                0.69291,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                     75,                0.94691,                0.70612,                 1.4414,                0.92877,                0.90033,                0.93946,                0.68459,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     76,                0.93931,                0.67309,                  1.416,                0.91449,                 0.9112,                0.93279,                0.68842,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
