                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.89286,                0.62935,                 1.3783,                 0.9219,                0.88294,                0.94092,                0.69886,                      0,                    inf,                      0,              0.0081685,              0.0081685,              0.0081685
                     39,                0.90599,                0.63326,                 1.3762,                0.95737,                 0.8621,                0.94216,                0.69342,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     40,                0.91308,                0.63149,                 1.3792,                0.92544,                0.89801,                0.94592,                0.69645,                      0,                    inf,                      0,              0.0080695,              0.0080695,              0.0080695
                     41,                0.88933,                0.62882,                 1.3851,                0.90895,                0.87386,                0.92896,                0.68352,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     42,                 0.8916,                0.64508,                 1.3837,                0.92732,                0.88293,                0.93495,                0.69781,                      0,                    inf,                      0,              0.0079705,              0.0079705,              0.0079705
                     43,                0.90345,                0.62634,                 1.3776,                0.91399,                0.82113,                0.92151,                0.69067,                      0,                    inf,                      0,               0.007921,               0.007921,               0.007921
                     44,                 0.8815,                0.61944,                 1.3544,                0.90676,                0.94281,                0.95511,                0.71838,                      0,                    inf,                      0,              0.0078715,              0.0078715,              0.0078715
                     45,                0.89414,                0.59149,                 1.3601,                0.89015,                 0.9207,                 0.9517,                0.71626,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     46,                0.87346,                0.59778,                 1.3699,                0.90613,                0.90913,                0.93425,                0.69765,                      0,                    inf,                      0,              0.0077725,              0.0077725,              0.0077725
                     47,                0.85193,                0.58993,                 1.3405,                0.95538,                 0.9105,                0.95335,                0.71176,                      0,                    inf,                      0,               0.007723,               0.007723,               0.007723
                     48,                0.89226,                0.60809,                 1.3662,                0.91822,                0.89658,                0.94832,                0.68787,                      0,                    inf,                      0,              0.0076735,              0.0076735,              0.0076735
                     49,                0.83207,                0.60397,                 1.3289,                0.95831,                0.90098,                 0.9635,                0.72141,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     50,                0.85001,                0.59008,                 1.3658,                0.93688,                0.90547,                0.93431,                0.69099,                      0,                    inf,                      0,              0.0075745,              0.0075745,              0.0075745
                     51,                 0.8533,                0.59962,                 1.3288,                0.93812,                0.89232,                0.92615,                 0.7012,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     52,                 0.8715,                0.62855,                 1.3685,                0.89287,                0.83801,                0.90676,                0.66321,                      0,                    inf,                      0,              0.0074755,              0.0074755,              0.0074755
                     53,                0.85204,                 0.6028,                 1.3389,                0.93081,                0.89445,                0.94455,                0.69837,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     54,                0.83533,                0.58068,                 1.3246,                0.92252,                0.91144,                  0.947,                 0.6945,                      0,                    inf,                      0,              0.0073765,              0.0073765,              0.0073765
                     55,                0.84382,                0.57185,                 1.3421,                0.93447,                0.88633,                0.94515,                0.70469,                      0,                    inf,                      0,               0.007327,               0.007327,               0.007327
